mturkcode,q1,q9,q15,q14_1,q14_2,q14_3,q14_4,q17_1_text,q17_2_text,q17_3_text,q17_4_text,q17_5_text,q17_6_text,q16_1_rank,q16_2_rank,q16_3_rank,q16_4_rank,q16_5_rank,q11_1_text,q11_2_text,q11_3_text,q11_4_text,q11_5_text,q11_6_text,video_type,attention_correct
4773606052,45,Female,A City,Dog,,,Fish,15,20,21,8,0,2,5,1,3,4,2,15,25,20,6,1,1,F,true
9031461831,34,Male,A City,Dog,,,,5,10,0,0,5,0,5,4,3,1,2,7,10,0,0,5,0,P,true
7940823766,27,Male,A City,Dog,,,,14,0,2,5,3,3,2,1,3,4,5,14,3,0,5,3,0,P,true
4567146338,21,Male,A City,,,,,7,7,5,1,1,3,1,2,4,5,3,7,7,2,1,1,2,F,true
3153780442,34,Male,A City,,,,,14,14,5,7,3,2,4,2,3,5,1,14,14,4,7,5,2,I,true
2795122209,25,Female,A City,,,,,7,7,7,0,0,0,1,2,3,5,4,7,7,7,0,1,0,F,true
5789493490,33,Male,A small town or suburban area,Dog,,,,7,5,4,3,2,1,2,1,4,5,3,7,3,3,3,2,1,I,true
2162913833,32,Male,A City,,,,,2,4,7,3,0,0,4,2,5,3,1,4,4,7,3,0,0,I,true
6416438515,22,Male,A City,,,,,7,5,7,4,3,0,1,4,5,3,2,7,5,7,4,3,0,P,true
5571508253,37,Female,A City,Dog,Cat,,Fish,5,4,5,1,4,0,1,4,5,3,2,5,3,7,2,4,1,F,true
3901454466,41,Female,A City,,,,,7,7,6,2,0,0,5,4,3,1,2,7,7,6,2,0,0,P,true
6838062643,39,Male,A City,Dog,,,Fish,10,10,0,2,3,8,5,3,4,2,1,10,10,0,4,2,5,F,true
9609721861,31,Male,A City,,,,,1,2,0,1,1,0,4,3,5,1,2,1,2,0,0,2,0,P,true
866836742,45,Male,A small town or suburban area,Dog,Cat,,,7,2,10,1,1,2,1,5,2,4,3,7,3,10,2,2,2,I,true
6068881331,21,Female,A City,,Cat,,,4,4,7,2,2,2,1,2,5,3,4,4,5,7,3,3,2,I,true
1127467169,23,Male,A rural area,Dog,Cat,,,3,3,7,0,4,0,1,3,5,4,2,3,4,7,0,4,0,P,true
4464925089,58,Male,A small town or suburban area,,,,Fish,4,5,7,4,3,1,2,1,4,5,3,4,4,7,4,2,1,F,true
3207250717,31,Male,A small town or suburban area,Dog,Cat,,Fish,7,10,10,0,4,2,2,1,4,5,3,7,10,10,0,4,1,I,true
165268373,28,Female,A City,,Cat,,,2,3,5,2,2,3,2,1,4,5,3,4,2,4,2,3,2,I,true
2712680986,21,Male,A City,,,,,14,5,10,5,2,1,5,4,2,3,1,14,10,10,5,2,1,P,true
2639502948,48,Male,A City,,Cat,,,4,1,1,0,2,0,4,1,3,2,5,2,1,1,1,0,0,F,true
