mturkcode,q1,q9,q15,q14_1,q14_2,q14_3,q14_4,q17_1_text,q17_2_text,q17_3_text,q17_4_text,q17_5_text,q17_6_text,q16_1_rank,q16_2_rank,q16_3_rank,q16_4_rank,q16_5_rank,q11_1_text,q11_2_text,q11_3_text,q11_4_text,q11_5_text,q11_6_text,video_type,attention_correct
9465313139,26,Male,A small town or suburban area,Dog,,,,5,6,7,2,3,3,1,2,5,4,3,5,5,7,3,5,3,F,true
680067078,27,Male,A small town or suburban area,,Cat,,,7,7,7,0,3,0,3,5,4,2,1,7,7,7,0,3,0,F,true
9779571387,30,Female,A rural area,,Cat,Bird,,2,3,5,2,0,0,5,2,4,1,3,3,4,5,2,1,0,P,true
1743430299,33,Female,A rural area,Dog,Cat,,,7,7,0,0,0,0,4,5,3,2,1,7,7,0,0,0,0,F,true
9906804100,41,Female,A city,,Cat,Bird,,8,15,5,1,0,0,5,4,3,2,1,12,15,4,1,0,0,I,true
7893580021,29,Female,A small town or suburban area,Dog,Cat,,,6,5,10,4,3,0,3,1,5,2,4,5,5,5,2,3,0,F,true
2944529084,28,Male,A small town or suburban area,,,,,6,5,4,3,4,1,1,2,3,4,5,6,4,4,3,4,1,F,true
7919398420,28,Male,A city,Dog,,,,7,4,3,3,3,1,2,1,5,4,3,7,5,3,3,3,1,P,true
3398054102,27,Female,A small town or suburban area,Dog,,,,10,10,0,3,2,0,1,5,4,2,3,10,10,0,3,3,1,F,true
2177400346,30,Male,A small town or suburban area,,,,,7,7,5,3,4,1,4,1,3,5,2,7,8,5,2,4,1,P,true
1405163113,32,Male,A small town or suburban area,,Cat,,,7,4,2,5,0,0,4,1,5,2,3,7,4,4,4,2,0,I,true
1257919711,36,Male,A small town or suburban area,,,,,0,2,7,1,1,3,3,1,2,4,5,0,2,7,1,1,3,I,true
6225709281,59,Female,A rural area,Dog,Cat,,,7,2,14,1,2,0,4,1,5,3,2,7,5,14,2,1,1,P,true
7833176637,35,Female,A city,,,,,15,5,6,6,0,3,4,1,3,5,2,7,6,7,6,0,0,P,true
6829008231,30,Male,A small town or suburban area,,,,Fish,10,10,10,5,2,1,1,2,5,4,3,10,10,10,10,3,1,F,true
3263666657,27,Male,A rural area,Dog,Cat,,,4,3,5,0,2,0,5,1,4,2,3,5,4,5,3,2,1,I,true
577729674,35,Male,A small town or suburban area,,Cat,,,0,0,14,0,14,0,1,2,3,4,5,0,0,14,0,14,0,I,true
384165453,35,Female,A small town or suburban area,Dog,Cat,Bird,Fish,16,15,6,5,3,2,2,1,5,3,4,14,10,5,6,3,3,P,true
7798753082,34,Male,A rural area,,,,,7,7,7,2,2,0,4,3,2,5,1,7,7,7,2,2,0,F,true
9679402573,47,Female,A small town or suburban area,,Cat,,,4,6,6,3,1,1,3,2,4,5,1,4,8,6,2,2,0,P,true
2351053468,63,Female,A rural area,,Cat,,,6,5,6,6,5,0,4,1,3,5,2,5,4,6,6,5,1,I,true
6289979461,36,Female,A city,,,,Fish,7,7,3,1,4,1,3,5,4,2,1,7,7,3,1,3,1,P,true
6554176318,28,Male,A small town or suburban area,Dog,Cat,,,4,4,7,1,1,1,4,1,5,3,2,4,4,7,1,1,1,F,true
7083151526,33,Male,A city,,,,,3,3,4,1,4,1,1,2,5,3,4,3,3,3,2,3,1,P,true
7229709443,24,Male,A small town or suburban area,Dog,Cat,,,10,0,5,9,2,3,1,2,3,5,4,5,5,5,5,12,12,F,true
5516268871,25,Male,A small town or suburban area,,Cat,,,4,6,5,10,10,10,1,3,2,4,5,5,4,10,10,10,10,I,true
1941455239,24,Female,A small town or suburban area,Dog,Cat,,,0,0,7,3,1,0,1,2,3,4,5,0,0,7,2,1,0,P,true
8234417615,32,Male,A city,Dog,,,,7,3,0,2,0,0,4,1,3,5,2,7,3,1,2,0,0,F,true
6880329232,23,Male,A city,Dog,Cat,,,6,6,5,1,3,3,2,3,5,4,1,6,7,5,0,3,1,I,true
9390167142,30,Female,A city,Dog,Cat,,,5,5,5,5,5,0,5,3,1,4,2,5,5,5,5,5,0,P,true
5323825860,69,Female,A rural area,,,,,7,7,7,7,3,1,5,4,3,2,1,7,7,7,7,3,1,P,true
9689710978,50,Male,A small town or suburban area,,Cat,,,5,7,2,2,2,1,1,2,3,5,4,5,10,2,4,3,1,I,true
1991194901,30,Male,A city,,Cat,,,4,4,4,3,4,0,5,2,4,3,1,3,3,3,3,3,0,,
3458389881,43,Female,A small town or suburban area,Dog,Cat,,,1,5,6,2,1,1,5,1,4,2,3,2,7,3,2,0,0,F,true
1118485587,54,Female,A city,,,,,7,7,3,7,2,0,2,1,4,5,3,7,7,3,7,2,0,P,true
730351121,30,Male,A farm,,,Bird,,2,4,5,6,3,2,1,4,2,5,3,4,2,6,3,2,5,P,true
24828761,33,Male,A city,Dog,,,Fish,10,5,14,7,5,1,2,5,1,3,4,5,5,14,7,5,6,I,true
1738611594,57,Female,A small town or suburban area,Dog,,,,5,3,23,5,2,0,1,4,2,5,3,7,12,23,4,5,0,F,true
6216044249,40,Male,A small town or suburban area,,,,,7,7,6,3,3,1,1,2,5,4,3,7,7,3,3,4,1,P,true
66637299,41,Female,A small town or suburban area,,Cat,,,5,2,4,1,3,2,1,4,5,3,2,6,2,2,1,4,2,P,true
536962086,34,Female,A city,Dog,,,,6,4,6,3,2,2,5,1,4,3,2,6,5,6,3,2,2,P,true
6687102699,41,Male,A small town or suburban area,,Cat,,,5,1,2,0,5,1,1,3,5,4,2,5,2,2,0,4,1,F,true
8934076777,41,Female,A small town or suburban area,,Cat,,,5,3,2,4,0,0,1,2,5,3,4,7,3,2,5,1,1,P,true
7302879444,66,Male,A small town or suburban area,Dog,Cat,,,7,7,7,7,3,2,1,2,5,4,3,7,7,7,7,3,2,F,true
5235066716,33,Male,A small town or suburban area,Dog,Cat,,,5,3,7,1,0,2,2,3,5,1,4,7,7,7,2,0,2,I,true
9327417635,25,Male,A small town or suburban area,,,,,2,4,5,5,6,0,2,1,3,4,5,3,8,4,4,6,0,I,true
9176148092,27,Female,A city,,,,,10,14,20,7,1,0,5,3,1,4,2,12,10,7,7,1,0,I,true
420168819,51,Female,A small town or suburban area,Dog,Cat,,,7,4,0,0,0,0,5,4,3,1,2,7,4,0,0,0,0,I,true
4598744651,61,Male,A rural area,,Cat,,,21,7,7,4,1,2,3,2,4,5,1,21,7,5,3,2,1,I,true
5065435790,43,Female,A city,Dog,Cat,,,4,1,10,0,4,0,3,2,5,1,4,5,1,9,1,3,1,P,true
9268409227,21,Male,A small town or suburban area,Dog,Cat,,,5,1,7,2,3,0,3,4,5,1,2,5,2,7,3,3,0,I,true
2692216713,58,Female,A small town or suburban area,Dog,Cat,,,5,4,7,2,1,4,3,1,2,4,5,4,4,7,3,2,1,P,true
5441778544,35,Male,A small town or suburban area,,,,,1,2,2,0,7,0,1,2,5,4,3,1,3,2,1,7,1,F,true
