mturkcode,q1,q9,q10_1_text,q10_2_text,q10_3_text,q10_4_text,q10_5_text,q10_6_text,q8,q11_1_text,q11_2_text,q11_3_text,q11_4_text,q11_5_text,q11_6_text,video_type,attention_correct
9551377166,21,Female,6,4,8,3,4,8,Use of irrigation in agriculture,7,4,9,9,5,5,I,true
3913367236,23,Female,7,4,6,4,3,1,Use of animals in agriculture,0,10,10,4,4,4,F,true
6137580652,22,Male,1,8,10,2,5,7,Use of animals in agriculture,4,7,7,10,4,1,P,true
3283699164,24,Male,8,6,0,2,6,2,Use of animals in agriculture,8,5,1,0,7,3,P,true
2486670850,23,Female,0,4,3,9,6,0,Use of animals in agriculture,4,5,9,4,4,7,F,true
2439857069,18,Female,1,1,5,8,0,0,Use of animals in agriculture,6,7,6,2,0,0,P,true
1634072791,18,Male,4,0,0,5,5,6,Use of animals in agriculture,7,6,7,10,6,6,F,true
7752418932,21,Male,10,9,2,8,5,10,Use of irrigation in agriculture,4,10,6,6,5,7,I,true
3007566351,24,Male,4,10,3,4,4,8,Use of irrigation in agriculture,10,9,1,0,5,1,I,true
7131936633,22,Male,2,10,2,0,6,9,Use of animals in agriculture,1,7,1,6,5,1,P,true
2460557976,19,Female,1,4,7,2,5,10,Use of irrigation in agriculture,8,10,3,7,4,9,I,true
3386684465,24,Female,5,5,5,8,0,0,Use of animals in agriculture,4,8,3,7,0,0,F,true
2771508879,17,Male,5,1,1,1,5,2,Use of animals in agriculture,7,5,2,5,5,7,F,true
1086277668,16,Male,3,8,4,6,6,5,Use of irrigation in agriculture,5,10,0,3,5,3,I,true
3084312980,15,Male,0,9,7,9,0,0,Use of irrigation in agriculture,10,4,4,0,0,0,I,true
9509886088,23,Male,10,2,7,1,0,0,Use of animals in agriculture,8,2,3,8,0,0,F,true
4815021096,24,Female,10,6,7,7,6,5,Use of irrigation in agriculture,5,1,8,0,6,2,I,true
5221599661,19,Female,8,7,6,4,3,7,Use of animals in agriculture,6,1,2,8,3,3,P,true
5798124726,21,Male,10,2,10,5,3,5,Use of animals in agriculture,6,1,3,4,4,7,F,true
320141017,20,Female,7,7,3,8,4,10,Use of animals in agriculture,5,2,3,7,4,5,P,true
9194030025,18,Male,2,6,5,10,6,5,Use of animals in agriculture,0,1,7,1,7,1,F,true
7316649812,17,Female,2,7,10,3,5,7,Use of irrigation in agriculture,4,6,7,9,5,0,I,true
3914781296,20,Female,6,0,9,7,4,8,Use of animals in agriculture,3,7,0,6,4,2,P,true
6079582637,25,Female,6,5,1,9,4,1,Use of animals in agriculture,9,10,9,5,4,9,F,true
8438635230,17,Female,6,0,2,4,4,7,Use of irrigation in agriculture,10,1,9,6,4,10,I,true
5948438667,23,Female,10,10,5,2,5,0,Use of animals in agriculture,0,8,3,9,4,1,P,true
4785195821,23,Female,0,0,3,7,4,9,Use of animals in agriculture,9,9,1,4,3,5,F,true
5323185003,23,Male,9,1,2,1,0,0,Use of animals in agriculture,0,5,10,7,0,0,F,true
1199932782,16,Female,8,7,0,9,5,3,Use of irrigation in agriculture,6,6,4,5,6,2,I,true
9128054780,15,Female,3,2,7,6,3,9,Use of irrigation in agriculture,9,8,5,5,3,7,I,true
1342720142,18,Male,2,4,4,6,6,1,Use of animals in agriculture,5,0,5,5,7,6,P,true
658671995,16,Female,0,1,5,4,4,7,Use of animals in agriculture,6,5,2,9,3,0,P,true
9786517261,24,Female,6,7,10,3,4,4,Use of animals in agriculture,10,10,2,9,3,5,F,true
7636287505,19,Male,4,1,8,3,0,0,Use of irrigation in agriculture,7,4,4,2,0,0,I,true
9128075004,24,Female,10,4,2,5,5,5,Use of animals in agriculture,8,8,1,3,6,5,P,true
1789343622,19,Female,9,3,7,4,6,5,Use of irrigation in agriculture,2,3,0,2,5,2,I,true
8470598966,15,Male,10,7,4,1,5,10,Use of animals in agriculture,9,10,2,3,4,1,F,true
6791754215,24,Female,5,1,5,0,4,2,Use of animals in agriculture,6,2,5,5,5,3,P,true
6100317919,19,Female,5,9,0,9,5,6,Use of animals in agriculture,3,0,5,6,5,2,P,true
716339820,18,Female,5,4,2,10,4,10,Use of animals in agriculture,5,9,6,3,3,3,P,true
2299937955,19,Female,6,3,2,7,4,10,Use of animals in agriculture,4,0,9,6,3,6,F,true
4377064467,20,Female,8,7,0,4,5,2,Use of irrigation in agriculture,7,0,3,3,5,3,I,true
3070465712,21,Female,9,10,4,5,4,9,Use of irrigation in agriculture,2,9,2,8,5,4,I,true
8574208510,23,Female,4,3,7,10,4,4,Use of animals in agriculture,0,3,5,9,5,7,F,true
2755411285,25,Female,0,1,6,1,4,3,Use of irrigation in agriculture,8,10,1,6,5,5,I,true
4825685378,16,Male,1,2,7,10,5,10,Use of animals in agriculture,7,10,7,6,6,3,F,true
1146784746,23,Male,3,2,3,4,6,5,Use of animals in agriculture,3,2,2,9,7,1,F,true
3148405789,22,Female,1,1,5,0,5,9,Use of animals in agriculture,10,5,0,9,6,6,P,true
3358096196,16,Female,10,2,9,8,5,10,Use of animals in agriculture,7,9,4,4,6,6,P,true
6311853947,21,Male,7,4,1,1,3,9,Use of irrigation in agriculture,10,4,8,2,4,3,I,true
3057016138,23,Male,8,5,10,7,4,4,Use of irrigation in agriculture,0,8,2,9,5,10,I,true
6842277394,19,Female,8,9,7,3,5,3,Use of irrigation in agriculture,4,3,1,1,6,3,I,true
6050059362,22,Male,1,6,8,2,4,2,Use of animals in agriculture,5,0,1,8,4,1,P,true
4781803078,22,Female,7,0,3,5,3,8,Use of animals in agriculture,10,0,1,6,3,8,P,true
7065630671,15,Female,7,9,2,9,4,3,Use of animals in agriculture,7,10,5,3,2,0,F,true
9148894436,17,Male,1,1,8,0,4,4,Use of animals in agriculture,2,4,7,4,3,9,F,true
712163113,25,Female,7,0,4,1,0,0,Use of irrigation in agriculture,8,7,8,8,0,0,I,true
4086363990,16,Male,9,7,2,10,4,9,Use of animals in agriculture,4,6,9,8,5,9,P,true
5002582762,17,Female,8,2,7,5,4,8,Use of irrigation in agriculture,3,3,4,8,3,2,I,true
