mturkcode,q1,q9,q15,q14_1,q14_2,q14_3,q14_4,q17_1_text,q17_2_text,q17_3_text,q17_4_text,q17_5_text,q17_6_text,q16_1_rank,q16_2_rank,q16_3_rank,q16_4_rank,q16_5_rank,q11_1_text,q11_2_text,q11_3_text,q11_4_text,q11_5_text,q11_6_text,video_type,attention_correct
9058595886,21,Female,A City,,Cat,,,10,3,8,6,3,10,1,4,2,5,3,10,2,7,4,3,7,I,true
3087218268,24,Female,A City,,,,,6,5,8,3,4,8,1,5,2,3,4,7,3,8,9,4,5,P,true
2312940638,20,Male,A City,,,,,9,8,0,10,3,0,1,5,2,3,4,4,0,3,10,2,5,P,true
8874799855,21,Male,A small town or suburban area,,,,,3,5,1,9,5,3,5,1,4,2,3,5,6,8,8,5,10,F,true
5759810497,18,Female,A small town or suburban area,,,,,6,5,4,6,4,9,5,2,3,1,4,3,9,8,0,5,5,F,true
9032210172,15,Male,A City,,,,,3,6,9,0,4,10,5,2,1,3,4,3,4,2,5,3,8,I,true
2551499688,25,Female,A City,Dog,,,,0,9,7,8,3,3,3,4,5,1,2,4,2,7,10,4,8,P,true
5357736917,22,Male,A rural area,,,,,6,2,4,9,5,5,2,5,1,3,4,5,7,8,5,5,1,I,true
6581934741,22,Male,A farm,,Cat,,,3,4,8,3,3,7,2,1,4,5,3,9,1,7,4,4,5,F,true
524524762,15,Male,A City,Dog,,,,5,7,9,0,6,8,5,4,2,3,1,6,1,10,3,6,1,P,true
125503190,23,Male,A rural area,,,,,5,2,3,7,5,3,1,5,2,3,4,7,3,2,1,6,9,F,true
5836599036,19,Male,A farm,Dog,Cat,,,1,8,9,2,5,2,4,1,3,5,2,10,1,3,3,5,3,I,true
9453097446,19,Male,A small town or suburban area,Dog,,Bird,,8,4,5,4,0,0,5,4,3,2,1,1,6,10,7,0,0,I,true
4079259820,25,Female,A City,,,,,0,6,4,10,4,5,3,1,2,5,4,10,4,7,7,4,9,F,true
1170968078,24,Female,A farm,Dog,,,,1,6,4,6,5,10,5,4,3,2,1,4,9,8,4,6,0,P,true
1044233981,20,Male,A City,,,,Fish,3,0,9,1,4,8,4,3,5,1,2,4,6,7,9,4,7,P,true
6942841401,19,Male,A City,,,,,1,4,5,6,5,5,2,4,1,5,3,2,10,3,3,6,2,F,true
711944992,24,Female,A City,,Cat,,,2,0,0,2,6,9,4,1,2,5,3,8,3,4,7,5,5,F,true
1194272427,19,Female,A small town or suburban area,,,Bird,,2,8,8,8,0,0,4,5,2,3,1,4,3,10,9,0,0,I,true
7488052970,16,Female,A City,,Cat,,,7,3,7,9,6,2,5,1,2,3,4,6,5,3,2,6,7,P,true
4721891712,20,Male,A City,,,,,9,2,1,9,4,0,4,5,2,3,1,9,1,9,8,4,5,P,true
714783407,17,Female,A City,,,,,4,6,7,10,3,8,5,1,4,2,3,5,9,2,2,2,3,F,true
1894953446,15,Male,A small town or suburban area,,,,Fish,8,10,1,0,5,7,2,1,4,3,5,3,7,5,9,4,9,I,true
751503864,15,Female,A small town or suburban area,,,Bird,,0,5,2,6,3,9,4,1,3,2,5,6,9,3,7,3,10,I,true
9833496958,20,Male,A City,,,,,0,0,2,1,4,6,2,5,3,1,4,8,3,4,0,4,6,P,true
1390158329,15,Male,A City,,,,,3,3,10,6,4,4,3,4,1,5,2,1,4,7,8,3,6,F,true
8216788670,20,Male,A small town or suburban area,,,,,3,2,2,9,5,3,4,2,5,1,3,4,10,10,2,4,6,P,true
8126192521,22,Female,A small town or suburban area,,,Bird,,1,5,7,5,4,2,4,1,3,2,5,7,5,1,2,4,6,F,true
9765251064,25,Male,A City,,Cat,,Fish,5,5,6,4,5,10,3,1,5,4,2,0,9,7,1,4,3,I,true
5481336601,15,Female,A small town or suburban area,,,,,2,9,10,9,4,8,4,1,3,2,5,2,0,8,0,4,5,F,true
1151581895,22,Female,A City,,,,,7,6,5,5,5,7,2,3,5,1,4,0,8,5,7,5,0,F,true
4737056819,19,Male,A small town or suburban area,Dog,,,,3,3,2,2,5,9,2,4,1,3,5,5,2,1,6,6,2,I,true
5525134992,25,Male,A City,,,,,4,9,6,1,5,10,3,4,1,5,2,2,10,9,5,4,5,P,true
1435153326,15,Female,A City,,,,,4,10,3,3,0,0,5,4,1,3,2,7,5,6,0,0,0,P,true
7786972322,17,Female,A City,,,,,2,1,0,5,6,1,5,1,2,3,4,10,1,1,6,6,4,I,true
3904288238,21,Male,A City,,Cat,,,7,10,2,9,5,5,4,2,3,1,5,0,3,7,10,6,7,F,true
2420688606,18,Female,A City,,,,,9,7,2,6,3,8,2,5,1,3,4,9,7,1,8,4,2,P,true
8914392259,24,Male,A farm,,,,,8,1,0,1,5,4,2,4,5,1,3,4,6,8,6,5,7,P,true
9705297849,18,Male,A City,,,,,1,2,3,10,5,2,5,1,2,3,4,5,7,7,5,5,2,I,true
7009495184,23,Male,A City,Dog,,,,1,9,1,9,4,9,4,1,5,2,3,9,8,1,9,3,10,I,true
6038450421,24,Male,A City,,,,,4,6,2,7,3,9,5,2,4,1,3,9,9,1,10,4,6,F,true
2952934652,17,Male,A rural area,,,,,0,8,4,7,0,0,5,4,1,3,2,2,1,7,3,0,0,I,true
6531560448,24,Female,A City,Dog,,,,3,7,6,8,5,3,2,4,1,5,3,0,6,9,4,3,8,F,true
5221229330,18,Female,A City,,,,,6,3,6,2,4,8,4,3,1,2,5,9,2,4,7,2,3,F,true
7868018457,24,Female,A small town or suburban area,,,,,6,8,8,7,5,3,4,1,3,5,2,3,2,4,9,4,10,I,true
1061837845,22,Female,A small town or suburban area,,,,,7,0,2,0,4,9,4,1,3,2,5,10,8,8,3,4,4,P,true
7170230587,16,Female,A small town or suburban area,,Cat,Bird,,1,0,8,0,6,9,1,5,2,3,4,6,3,6,1,6,0,P,true
9226293754,22,Female,A farm,,Cat,,,3,10,3,1,5,10,4,2,3,1,5,8,9,10,10,4,9,P,true
7622888511,23,Female,A City,,,,,9,3,1,7,0,0,5,4,3,2,1,0,7,5,4,0,0,I,true
1989065781,23,Male,A small town or suburban area,,,,,1,7,0,2,5,5,3,5,2,4,1,8,9,9,6,6,5,P,true
1686761048,21,Male,A small town or suburban area,,,,,8,0,6,7,6,9,2,3,5,1,4,0,5,9,4,6,8,I,true
3189948429,15,Male,A farm,,,,,10,9,10,6,4,7,4,3,5,1,2,10,9,6,3,4,4,F,true
3570806067,21,Male,A City,,,,,7,4,8,10,4,3,2,5,3,4,1,3,5,0,7,5,8,F,true
2186566293,20,Female,A City,,,,,9,7,7,8,5,4,4,1,5,2,3,10,8,0,6,5,5,P,true
3843608945,20,Male,A City,Dog,,,,0,10,3,4,3,6,4,1,5,2,3,5,8,5,10,3,5,I,true
6800842629,15,Male,A farm,,Cat,,,2,1,2,7,6,1,3,5,4,2,1,0,3,1,4,7,9,F,true
1594857629,24,Female,A City,,,,,3,10,6,1,3,7,4,2,3,1,5,2,6,10,3,3,3,P,true
7640370801,21,Female,A City,Dog,Cat,,,6,5,1,10,4,0,5,3,2,1,4,2,8,4,4,3,9,I,true
4822363965,25,Male,A farm,,Cat,,,7,6,3,5,3,8,3,4,5,2,1,7,5,7,1,3,4,F,true
3891960498,22,Female,A small town or suburban area,,,,,1,7,8,0,5,4,5,1,2,3,4,2,10,2,1,6,1,I,true
6058717351,23,Male,A City,,,,,9,6,8,0,5,6,1,5,3,4,2,5,5,8,2,5,2,P,true
1908094016,22,Male,A small town or suburban area,Dog,,,,6,2,0,7,4,8,5,3,4,1,2,3,0,10,6,4,2,F,true
537067502,15,Male,A City,,,,,10,2,4,10,3,9,2,1,4,5,3,1,5,10,2,2,2,P,true
1168890348,22,Male,A small town or suburban area,,,,,1,4,9,4,4,4,3,5,1,4,2,2,2,4,7,5,6,F,true
5676644360,21,Male,A City,,Cat,,,2,8,6,10,5,0,1,5,3,2,4,1,9,2,2,5,8,I,true
9036621903,17,Male,A small town or suburban area,,Cat,,,8,0,1,5,6,1,3,1,2,5,4,6,1,8,5,5,9,I,true
6298539554,18,Male,A small town or suburban area,,,,,4,4,9,8,4,4,1,5,3,4,2,8,0,0,7,3,6,F,true
1661932803,24,Male,A City,Dog,,,,3,6,3,9,5,1,5,2,4,3,1,4,1,6,5,4,5,I,true
3865525904,21,Female,A City,,Cat,,,10,6,7,5,5,0,3,5,4,1,2,7,8,6,2,6,5,P,true
6263068350,19,Male,A City,,,Bird,,5,5,2,7,4,5,2,1,3,5,4,0,5,2,8,4,4,P,true
3741155443,23,Female,A City,Dog,,,,6,10,0,5,0,0,4,5,2,1,3,8,0,3,0,0,0,F,true
2482964405,19,Male,A rural area,,,,,3,6,1,6,4,6,4,2,1,3,5,2,2,1,5,3,5,I,true
1831571529,18,Female,A small town or suburban area,,,,,9,4,5,4,5,9,4,3,5,1,2,10,8,0,9,6,1,I,true
7148529561,19,Female,A small town or suburban area,,,,,5,4,7,0,5,5,4,5,2,3,1,10,4,2,8,5,9,P,true
