mturkcode,q1,q9,q15,q14_1,q14_2,q14_3,q14_4,q17_1_text,q17_2_text,q17_3_text,q17_4_text,q17_5_text,q17_6_text,q16_1_rank,q16_2_rank,q16_3_rank,q16_4_rank,q16_5_rank,q11_1_text,q11_2_text,q11_3_text,q11_4_text,q11_5_text,q11_6_text,video_type,attention_correct
5952558014,24,Male,A City,,,,,6,5,3,6,3,8,5,2,1,4,3,2,2,2,2,2,2,I,true
6836581351,17,Male,A City,,Cat,,,3,6,10,10,4,1,5,3,4,2,1,5,10,7,5,5,7,P,true
1069408459,23,Female,A small town or suburban area,,,,,3,9,8,0,4,10,2,5,4,3,1,4,0,3,1,5,3,I,true
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
mturk code,Age,Sex,Living situation,Has Dog,Has Cat,Has Bird,Has Fish,veg last week,fruit last week,Dairy last week,Eggs last week,Beef last week,Pork last week,Hamburger Rank,Chicken Rank,Eggs rank,Grain Rank,Fruit/veg rank,veg next week,Fruit next week,Dairy next week,Eggs next week,Beef next week,Pork next week,video_type,
,,,A City,,,,,,,,,,,,,,,,,,,,,,I,
,,,A small town or suburban area,,,,,,,,,,,,,,,,,,,,,,P,
,,,A rural area,,,,,,,,,,,,,,,,,,,,,,F,
,,,A farm,,,,,,,,,,,,,,,,,,,,,,,
