assignment,worker_id,bonus_cash_req,bonus_beef_req,bonus_fruit_req,status,comp_code,bonus_paid
32KTQ2V7RE5AYDG0QBQG4R3MAVBM9C, AV5MQWVJQT5H6, 100, 0, 0, Approved, 1356168948, 0
34S9DKFK74FVHW98AOXWGNLDNELNYK, A2G53M4VQMQZ0X, 100, 0, 0, Approved, 1632969882, 0
3IXQG4FA2UOEFMC3ZM07QBSSXLM9B2, A12VO7UB2R1RW0, 100, 0, 0, Approved, 1811225973, 0
33CUSNVVNO2VZJVMRIAJZD7G5GA88I, A2XGF2T637WMB6, 100, 0, 0, Approved, 2131148506, 0
37WLF8U1WQGSQ6EZ7SAO54KGU9N6KY, A17DULCYUBTM4B, 100, 0, 0, Approved, 2324334466, 0
3ZPBJO59KQR09PS6BUF5YIEGJFLDHA, A3GF4RU9YVAN54, 100, 0, 0, Approved, 2363164969, 0
3NS0A6KXC5YPCU2RJ6MK4ALIS0CZGW, A2QAPSIOWEOOLP, 100, 0, 0, Approved, 2559690647, 0
3G2UL9A02E44VR7FOYLF1ZFUOPK76Q, A2135R2UUG39TD, 100, 0, 0, Approved, 2792126573, 0
3GGAI1SQEWOCWBN32V076H4UF2HCMT, A14IPKOBOPID9H, 100, 0, 0, Approved, 2793904971, 0
34BBWHLWHB1ZEQ3HY72GQI4GQGSWIX, A3ECPCV07EMUYY, 100, 0, 0, Approved, 284253694, 0
3PS7W85Z80SEB86KZ8RSQ5YE3NK9TG, A7JIPTLOQQQYY, 100, 0, 0, Approved, 3382092961, 0
3ZPBJO59KQR09PS6BUF5YIEGJFRDHG, AQ5RV9HW7U6ID, 100, 0, 0, Approved, 3502621129, 0
3GA6AFUKOPE2RXQ9I59TL9S4S9AH38, A2SLC00CY68DT6, 100, 0, 0, Approved, 3684806153, 0
3LQ8PUHQFMIHH08S38GGPFUTC1YHIK, AHLMLSZQMAS08, 100, 0, 0, Approved, 3893733648, 0
3KRVW3HTZOBS3SCZZHQ7LM8C1A3MS7, A1JR7ICD6JZ6Z9, 100, 0, 0, Approved, 4213155247, 0
3LO69W1SU43575LN45VBWVAKDWILGN, A3J0CEJ3L3NG8A, 100, 0, 0, Approved, 4293470731, 0
