mturkcode,q1,q9,q10_1_text,q10_2_text,q10_3_text,q10_4_text,q10_5_text,q10_6_text,q8,q11_1_text,q11_2_text,q11_3_text,q11_4_text,q11_5_text,q11_6_text,video_type,attention_correct
9086722796,17,Male,5,1,8,4,4,0,Use of irrigation in agriculture,4,9,10,6,4,6,I,true
564806060,19,Male,4,8,10,10,4,3,Use of animals in agriculture,3,0,5,6,4,3,F,true
8875626255,20,Male,4,8,2,10,6,5,Use of animals in agriculture,9,8,4,9,4,4,P,true
45376261,24,Female,6,0,5,10,5,0,Use of animals in agriculture,3,4,9,10,3,5,F,true
7799777500,22,Female,8,2,10,0,3,1,Use of animals in agriculture,6,1,10,9,4,4,P,true
2293698312,16,Male,3,0,3,5,5,3,Use of animals in agriculture,4,10,0,1,5,4,P,true
4673101957,17,Female,6,4,5,0,6,2,Use of animals in agriculture,6,1,5,6,4,5,F,true
1041361619,23,Male,0,4,6,2,6,7,Use of irrigation in agriculture,4,10,4,9,5,8,I,true
1942588388,19,Male,4,7,2,7,5,5,Use of irrigation in agriculture,9,8,5,7,3,7,I,true
5289736147,25,Male,0,9,1,6,3,9,Use of animals in agriculture,10,10,9,4,5,5,P,true
6894286819,24,Male,4,10,6,3,5,7,Use of animals in agriculture,5,3,3,6,5,6,F,true
7680072435,15,Female,9,5,9,7,4,0,Use of animals in agriculture,1,5,10,10,2,5,F,true
374086853,23,Female,0,6,10,5,4,4,Use of animals in agriculture,3,3,0,0,3,2,P,true
767465531,21,Male,7,7,9,8,4,2,Use of animals in agriculture,8,10,7,7,4,0,F,true
9755202988,21,Female,10,8,8,4,4,9,Use of irrigation in agriculture,7,10,0,7,5,6,I,true
4034235873,15,Male,9,6,2,0,6,9,Use of animals in agriculture,6,10,9,5,3,0,F,true
7118148687,16,Female,0,9,5,1,3,3,Use of irrigation in agriculture,9,5,9,10,2,4,I,true
7484224196,18,Female,2,7,5,7,4,2,Use of irrigation in agriculture,0,7,6,4,5,10,I,true
9842096585,17,Male,9,3,5,2,5,1,Use of animals in agriculture,8,3,4,9,5,2,P,true
6499034748,25,Male,6,10,9,8,5,10,Use of animals in agriculture,4,6,4,9,4,9,F,true
4885048246,21,Female,7,4,0,2,5,8,Use of animals in agriculture,0,7,6,6,3,1,P,true
9119664481,21,Female,10,5,2,0,5,6,Use of irrigation in agriculture,6,5,6,8,5,4,I,true
1123297903,24,Female,9,5,6,7,4,0,Use of animals in agriculture,7,8,3,10,4,3,F,true
8031885139,17,Male,9,8,6,4,5,9,Use of animals in agriculture,0,8,0,2,4,5,P,true
1543486537,23,Male,1,9,3,6,6,6,Use of irrigation in agriculture,6,7,1,7,4,0,I,true
8372324220,17,Female,5,8,0,9,3,1,Use of animals in agriculture,6,0,4,9,5,5,P,true
1609810222,20,Female,7,0,9,7,5,4,Use of animals in agriculture,5,1,8,9,5,5,P,true
7606652048,18,Male,5,4,3,5,5,6,Use of irrigation in agriculture,6,1,10,1,4,10,I,true
4901421340,25,Male,10,1,5,3,4,5,Use of animals in agriculture,2,8,7,0,5,10,F,true
6344930813,25,Female,9,4,6,2,5,9,Use of animals in agriculture,7,7,2,10,5,0,F,true
8830788717,19,Male,1,6,1,2,4,7,Use of animals in agriculture,6,7,1,6,6,3,P,true
9143624207,21,Male,1,7,5,5,4,5,Use of irrigation in agriculture,8,8,7,2,5,0,I,true
6141563095,20,Male,6,2,9,4,5,8,Use of irrigation in agriculture,10,2,6,4,4,2,I,true
177297350,16,Male,0,8,1,4,5,10,Use of animals in agriculture,5,5,1,10,6,2,P,true
2132298569,24,Female,7,5,0,7,0,0,Use of irrigation in agriculture,6,9,6,0,0,0,I,true
383208966,17,Male,10,3,5,2,6,4,Use of animals in agriculture,6,6,8,2,5,0,F,true
560117545,25,Male,1,6,1,5,3,0,Use of animals in agriculture,1,3,6,3,4,1,F,true
333515917,15,Female,5,3,3,7,6,6,Use of animals in agriculture,9,8,6,0,4,6,F,true
5104537229,17,Male,6,5,2,0,4,4,Use of animals in agriculture,3,8,9,7,5,1,P,true
9372193478,23,Female,9,5,10,3,5,9,Use of irrigation in agriculture,8,5,4,7,5,6,I,true
5672482564,20,Male,2,8,2,0,6,7,Use of animals in agriculture,7,6,6,2,5,7,F,true
8591812285,18,Male,8,8,10,3,4,10,Use of animals in agriculture,8,5,1,3,4,7,F,true
8647771184,23,Male,9,5,9,8,5,3,Use of irrigation in agriculture,4,7,2,6,6,2,I,true
9071269384,16,Male,6,1,7,6,4,9,Use of irrigation in agriculture,5,5,8,4,3,10,I,true
7776484037,22,Female,9,0,6,7,4,6,Use of irrigation in agriculture,10,3,9,8,5,3,I,true
60309926,18,Female,9,6,8,4,0,0,Use of animals in agriculture,4,10,6,5,0,0,P,true
5896270386,20,Male,1,0,6,0,6,7,Use of animals in agriculture,4,10,0,1,6,10,P,true
2673919214,22,Male,0,1,10,7,6,8,Use of animals in agriculture,10,2,5,7,3,1,P,true
2404820560,20,Female,2,3,7,7,5,6,Use of animals in agriculture,4,3,5,10,5,2,F,true
8933624792,20,Female,7,4,2,3,4,7,Use of irrigation in agriculture,3,0,9,1,6,10,I,true
1267656604,22,Female,3,0,10,0,3,10,Use of animals in agriculture,3,8,9,2,5,4,P,true
5271176216,19,Male,4,2,5,5,6,8,Use of animals in agriculture,6,0,5,10,5,2,F,true
7736568008,18,Female,0,6,1,3,6,10,Use of animals in agriculture,1,2,2,2,4,8,F,true
362589345,25,Female,10,5,0,9,4,3,Use of irrigation in agriculture,5,4,4,4,3,0,I,true
1767923473,15,Female,6,5,2,9,4,8,Use of irrigation in agriculture,3,7,1,0,4,8,I,true
3940129010,20,Male,6,4,7,3,5,9,Use of animals in agriculture,3,5,5,1,5,5,F,true
9348292471,24,Female,4,5,5,4,5,9,Use of irrigation in agriculture,3,3,5,3,4,1,I,true
7574473689,17,Female,10,0,9,10,5,8,Use of animals in agriculture,4,1,7,0,5,8,F,true
1862133294,23,Female,5,0,2,1,4,0,Use of animals in agriculture,4,8,8,1,3,5,P,true
2251510578,20,Female,4,4,4,1,5,2,Use of animals in agriculture,3,10,4,0,5,4,P,true
5400985414,17,Female,6,9,4,10,5,10,Use of animals in agriculture,10,9,1,3,4,8,F,true
6272279345,18,Male,3,4,10,2,3,8,Use of irrigation in agriculture,7,6,5,10,5,5,I,true
9277218896,25,Male,1,7,10,8,5,0,Use of irrigation in agriculture,3,1,4,7,5,10,I,true
7448333096,15,Male,3,9,0,8,3,4,Use of animals in agriculture,3,0,4,6,5,10,F,true
7501596217,23,Male,9,7,1,6,4,7,Use of animals in agriculture,8,8,10,8,4,10,P,true
7017725431,20,Male,8,6,10,10,5,3,Use of animals in agriculture,9,4,5,3,5,7,P,true
9415248078,17,Female,3,7,9,9,3,4,Use of irrigation in agriculture,3,7,5,3,4,9,I,true
5554799572,18,Male,3,6,7,0,4,10,Use of irrigation in agriculture,5,3,9,4,5,4,I,true
8609932046,15,Female,9,0,6,8,4,5,Use of animals in agriculture,3,1,6,0,5,7,P,true
281000598,25,Male,8,8,0,2,4,5,Use of animals in agriculture,1,6,6,8,4,5,F,true
7330346549,25,Male,3,2,6,8,6,6,Use of animals in agriculture,6,1,3,0,4,6,F,true
1398975993,25,Male,2,2,0,8,5,9,Use of irrigation in agriculture,1,3,1,3,5,7,I,true
769841829,22,Female,8,9,1,8,5,9,Use of animals in agriculture,3,6,3,5,3,10,P,true
965615431,19,Male,7,0,9,0,0,0,Use of irrigation in agriculture,6,7,3,6,0,0,I,true
7151771080,25,Male,5,1,2,0,3,2,Use of animals in agriculture,0,10,0,6,5,4,F,true
5370933306,23,Male,2,3,8,6,5,7,Use of animals in agriculture,10,7,9,10,4,0,P,true
6277326769,25,Female,5,7,2,7,4,4,Use of animals in agriculture,2,8,1,0,4,7,P,true
9333065203,15,Male,6,6,4,8,6,0,Use of animals in agriculture,4,1,2,4,4,1,F,true
720879039,25,Female,3,2,7,6,5,10,Use of animals in agriculture,9,5,2,3,4,0,F,true
5390596343,22,Female,3,6,10,4,5,8,Use of animals in agriculture,4,9,10,1,4,2,P,true
7100629443,19,Female,7,6,4,4,4,2,Use of animals in agriculture,6,2,9,3,4,3,P,true
374340540,17,Male,6,3,6,8,6,0,Use of animals in agriculture,7,10,10,5,4,1,F,true
73584243,22,Female,1,9,10,0,3,10,Use of irrigation in agriculture,5,0,0,0,5,1,I,true
5676395888,20,Female,8,7,8,3,3,3,Use of animals in agriculture,9,1,1,9,4,10,F,true
2332532946,20,Male,4,2,0,5,4,9,Use of irrigation in agriculture,4,4,0,2,6,8,I,true
2378470017,24,Female,4,1,7,10,4,3,Use of animals in agriculture,2,5,8,4,3,2,F,true
5362309636,15,Female,2,4,4,2,5,9,Use of irrigation in agriculture,2,4,8,7,3,2,I,true
7783427163,16,Female,1,10,10,10,5,9,Use of animals in agriculture,9,9,6,6,3,3,P,true
4407302704,22,Male,3,2,4,3,5,10,Use of animals in agriculture,2,10,10,10,3,0,P,true
8922800244,25,Female,5,6,8,3,4,1,Use of animals in agriculture,4,0,7,0,4,9,P,true
